date,country,adserver_id,offers_id,partners_id,status,device,carrier,views,bcpm,sent,earned,cpm,leads,conversion,roi
2015-10-31,DE,210,30,8,A,Android,o2,1,0.5,0,0,0,0,0,0
2015-10-31,RU,210,30,8,A,Android,megafon,1,0.5,0,0,0,0,0,0
2015-10-31,CH,210,30,8,A,Android,sunrise,1,0.5,0,0,0,0,0,0
2015-10-31,DE,210,30,8,A,Android,vodafone,1,0.5,0,0,0,0,0,0
2015-10-31,RU,210,30,8,A,Android,beeline,1,0.5,0,0,0,0,0,0
2015-10-31,MX,210,30,8,A,iPhone,telcel,1,0.5,0,0,0,0,0,0
2015-10-31,DE,210,30,8,A,iPhone,vodafone,1,0.5,0,0,0,0,0,0
2015-10-31,DE,210,30,8,A,iPhone,o2,1,0.5,0,0,0,0,0,0
2015-10-31,RU,210,30,8,A,iPhone,megafon,1,0.5,0,0,0,0,0,0
2015-10-31,RU,210,30,8,A,iPhone,beeline,1,0.5,0,0,0,0,0,0
2015-10-31,CH,210,30,8,A,iPhone,sunrise,1,0.5,0,0,0,0,0,0
2015-10-31,TR,210,31,6,A,Android,vodafone,147,0.5,0.07,0,0,0,0,0
2015-10-31,TR,210,31,6,A,Android,turkcell,173,0.5,0.09,0,0,0,0,0
2015-10-31,TR,210,31,6,A,iPhone,turkcell,19,0.5,0.01,0,0,0,0,0
2015-10-31,TR,210,31,6,A,iPhone,vodafone,12,0.5,0.01,0,0,0,0,0
2015-11-01,TR,210,31,6,A,Android,turkcell,27,0.5,0.01,0,0,0,0,0
2015-11-01,TR,210,31,6,A,Android,vodafone,11,0.5,0.01,0,0,0,0,0
2015-10-31,IN,210,32,1,A,iPhone,vodafone in,112,0.5,0.06,0,0,0,0,0
2015-10-31,TR,210,34,1,A,Android,vodafone,147,0.5,0.07,0,0,0,0,0
2015-10-31,TR,210,34,1,A,Android,turkcell,173,0.5,0.09,0,0,0,0,0
2015-10-31,TR,210,34,1,A,iPhone,turkcell,19,0.5,0.01,0,0,0,0,0
2015-10-31,TR,210,34,1,A,iPhone,vodafone,13,0.5,0.01,0,0,0,0,0
2015-11-01,TR,210,34,1,A,Android,turkcell,26,0.5,0.01,0,0,0,0,0
2015-11-01,TR,210,34,1,A,iPhone,turkcell,1,0.5,0,0,0,0,0,0
2015-11-01,TR,210,34,1,A,Android,vodafone,29,0.5,0.01,0,0,0,0,0
2015-10-31,MX,210,35,1,A,iPhone,telcel,3,0.5,0,0,0,0,0,0
2015-10-31,MX,210,35,1,A,Android,telcel,46,0.5,0.02,0,0,0,0,0
2015-11-01,MX,210,35,1,A,Android,telcel,26,0.5,0.01,0,0,0,0,0
2015-11-01,MX,210,35,1,A,iPhone,telcel,2,0.5,0,0,0,0,0,0
2015-10-31,AU,210,36,1,A,Android,telstra,210,0.5,0.1,0,0,0,0,0
2015-10-31,AU,210,36,1,A,iPhone,telstra,240,0.5,0.12,0,0,0,0,0
2015-11-01,AU,210,36,1,A,iPhone,telstra,332,0.5,0.17,0,0,0,0,0
2015-11-01,AU,210,36,1,A,Android,telstra,408,0.5,0.2,0,0,0,0,0
2015-11-01,IT,231,1,1,A,Android,3 italia,0,0,0,9.68,0,2,0,0
2015-11-01,TR,210,31,6,A,iPhone,turkcell,1,0.5,0,0,0,0,0,0
2015-11-01,TR,210,34,1,A,iPhone,vodafone,1,0.5,0,0,0,0,0,0
2015-11-02,IN,231,5,8,A,Android,Vodafone in,0,0,0,0.28,0,1,0,0
2015-11-02,IT,231,1,1,A,Android,3 italia,0,0,0,9.68,0,2,0,0
2015-11-02,IN,461,42,1,A,Android,idea cellular ltd,81,0.5,0.04,0,0,0,0,0
2015-11-02,IN,461,42,1,A,Android,airtel,66,0.5,0.03,0,0,0,0,0
2015-11-02,UK,461,43,1,A,Android,orange uk,258,0.5,0.13,0.66,2.56,1,0.39,508
2015-11-02,UK,461,43,1,A,Android,t-mobile uk,1084,0.5,0.54,0,0,0,0,0
2015-11-02,UK,461,43,1,A,iPhone,t-mobile uk,244,0.5,0.12,0,0,0,0,0
2015-11-02,UK,461,43,1,A,iPhone,orange uk,313,0.5,0.16,0,0,0,0,0
2015-11-02,UK,461,45,8,A,Android,orange uk,2230,0.5,1.12,0,0,0,0,0
2015-11-02,UK,461,45,8,A,Android,t-mobile uk,1085,0.5,0.54,0,0,0,0,0
